0 0 0
0.9836695 0 0.02806883 0.1777823
0.9727603 0 -0.1495991 -0.1770805
0.1112073 0.5630878 2.499719
0.9956416 -0.08171684 -0.04432805 -0.007426172
0.9971941 -0.06543628 -0.03623911 -0.002993175
0.9999036 -7.843599E-06 -0.0005651936 -0.01387615
-0.7728455 0.02808589 -0.07544468 -0.6294672
-0.7616564 0.02767926 -0.237348 -0.6023116
-0.7683467 -0.004473038 -0.1992885 -0.6082001
-0.7586842 -0.02757125 0.09157261 0.6444009
-0.7225029 -0.02625639 0.3149836 0.6148866
-0.6033006 -0.1054521 0.287622 0.7363299
0.9976447 -0.05092266 -0.04441723 -0.01179645
0.9985885 0.02663012 -0.04519854 -0.00831492
-0.9942297 -0.02695009 0.103825 0.001199869
0.9988319 0.006630881 -0.04447009 0.01769826
0.998466 0.02783661 -0.04408429 0.01863846
-0.9754564 -0.02473099 0.2187968 0.001101052
0.983303 0 0.06413458 0.1702998
0.9739024 0 -0.1375809 -0.1805147
0.1066672 0.5639889 2.496104
0.9967188 -0.07932941 -0.01600304 0.00152552
0.9978698 -0.0637534 -0.01070468 0.008757651
0.9987366 0.04694576 0.01464941 -0.01032556
-0.7884441 0.008457839 -0.0870959 -0.6088503
-0.7799538 0.008366761 -0.2268702 -0.5832084
-0.8246457 -0.03309907 -0.1481111 -0.5449101
-0.7555175 -0.008104627 0.07337198 0.6509564
-0.7410916 -0.007949878 0.2938111 0.6036515
-0.6614789 -0.07721391 0.2630651 0.6980549
0.9987041 -0.0468876 -0.01603492 -0.01160298
0.9993724 0.02937901 -0.01687274 -0.0103469
-0.998097 -0.03055311 0.05356039 0.0004905523
0.9996206 -0.02232765 -0.01604963 -0.001636897
0.9996206 -0.02232765 -0.01604963 -0.001636897
0.9976155 -0.03428742 -0.05989476 0.0005505093
0.9811447 0 0.09489904 0.1683724
0.9752163 0 -0.1166484 -0.1880064
0.09905203 0.5657984 2.492864
0.9968125 -0.07878809 0.007316792 0.01018449
-0.9977728 0.06401072 -0.007744267 -0.01709487
0.9946356 -0.06178017 0.007719826 -0.0826065
0.7928585 0.006153741 0.09278392 0.6022697
0.7862206 0.006102222 0.2216267 0.576803
0.8375375 0.0503042 0.1322166 0.5277492
0.755414 -0.005863118 -0.05325769 -0.6530536
0.759243 -0.005892836 -0.2744713 -0.5900687
0.6894087 0.08349092 -0.2215993 -0.6845722
0.9988337 -0.04537389 0.007331628 -0.01478816
0.9993395 0.03237487 0.006160389 -0.01531313
-0.9992529 -0.03515882 0.01605049 -0.0002580776
0.9915529 -0.1291319 0.003924788 -0.01149545
0.9915529 -0.1291319 0.003924788 -0.01149545
0.976571 -0.2151815 -0.001811423 -0.001585048
0.979657 0 0.1124269 0.16623
0.9767308 0 -0.0944114 -0.1925709
0.09151364 0.5677481 2.489558
0.9963723 -0.08064035 0.02465705 0.01146498
