2 0 0
0.9974621 0.01478254 -0.0527822 0.04544266
-0.9859014 -0.01703225 -0.1664544 -0.001262345
0.9830648 0 0.0270091 0.1812573
0.9814176 0 -0.1310291 -0.1401816
0.0977466 0.6346606 2.585083
0.9970756 -0.0519044 -0.054951 -0.01125234
0.9978114 -0.03591606 -0.05469912 -0.009508044
-0.9855675 0.0532115 0.1605318 -0.007392519
-0.8252252 0.04523801 -0.04175042 -0.5614391
-0.4607382 0.1241706 -0.7348806 -0.4819259
-0.1777447 -0.277538 -0.6939439 -0.6401731
-0.8404261 -0.04607131 0.128491 0.5244535
-0.3716266 0.07686523 0.7659358 0.5189682
-0.04749886 -0.3025585 0.7030127 0.6418535
0.9977091 -0.02831839 -0.05498592 -0.02740977
0.9979734 0.01656682 -0.05616265 -0.02490991
-0.999895 -0.01290536 -0.006552761 0.000711241
0.9973168 -0.01941379 -0.0549643 0.04428813
0.9973983 0.01463878 -0.05342059 0.04613841
-0.9850123 -0.01709597 -0.1716269 -0.001718897
0.9837084 0 0.02273117 0.178329
0.9814991 0 -0.1305831 -0.1400271
0.09683616 0.6350927 2.585155
0.9969933 -0.05177732 -0.05632415 -0.0122911
0.9977418 -0.03585758 -0.05594439 -0.009790618
-0.9839799 0.05451245 0.1686954 -0.01880652
-0.829863 0.04653101 -0.05003135 -0.5537682
-0.4268278 0.1390245 -0.7390081 -0.5023519
-0.04001116 -0.1364475 -0.7293438 -0.669208
-0.8458242 -0.04742596 0.1383668 0.5130175
-0.3229678 0.09926379 0.7586226 0.5570731
-0.07106245 -0.3489078 0.7045767 0.6138285
0.9976372 -0.02852518 -0.05636052 -0.027018
0.9979203 0.01576839 -0.05750382 -0.02449066
-0.999916 -0.0119881 -0.00489498 0.0006772431
0.9971996 -0.01899157 -0.05633581 0.04537067
0.9972755 0.01446826 -0.05478224 0.04723482
-0.9847246 -0.01727946 -0.1732398 -0.002598393
0.9843753 0 0.01860624 0.1750973
0.9815933 0 -0.1300793 -0.1398357
0.09521703 0.635734 2.585764
0.996833 -0.05093319 -0.05935918 -0.01437249
0.9976939 -0.03561421 -0.05686449 -0.01025197
-0.9824642 0.06122409 0.1745841 -0.02315899
-0.8368286 0.04769557 -0.05345234 -0.5427578
-0.4258025 0.09395918 -0.7478112 -0.5006422
-0.002287728 -0.1564932 -0.7127804 -0.6837029
-0.8455163 -0.04819073 0.1517916 0.5096462
-0.3012899 0.0949432 0.7637193 0.562977
-0.0567103 -0.3593365 0.7086657 0.6045283
0.9974689 -0.03005469 -0.05939705 -0.02499018
0.9978084 0.01503264 -0.06046525 -0.02228165
-0.999929 -0.01117421 -0.004088058 0.0006653861
0.9969347 -0.01888742 -0.05936524 0.04733291
0.9970125 0.01420187 -0.05776202 0.04927662
-0.984544 -0.01768089 -0.1741907 -0.004288689
0.9853441 0 0.01481167 0.1699347
